From Node,To Node,Resistance,Reactance
0,1,0.0922,0.047
1,2,0.493,0.2511
2,3,0.366,0.1864
3,4,0.3811,0.1941
4,5,0.819,0.707
5,6,0.1872,0.6188
6,7,0.7114,0.2351
7,8,1.03,0.74
8,9,1.044,0.74
9,10,0.1966,0.065
10,11,0.3744,0.1238
11,12,1.468,1.155
12,13,0.5416,0.7129
13,14,0.591,0.526
14,15,0.7463,0.545
15,16,1.289,1.721
16,17,0.372,0.574
1,18,0.164,0.1565
18,19,1.5042,1.3554
19,20,0.4095,0.4784
20,21,0.7089,0.9373
2,22,0.4512,0.3083
22,23,0.898,0.7091
23,24,0.896,0.7011
5,25,0.203,0.1034
25,26,0.2842,0.1447
26,27,1.059,0.9337
27,28,0.8042,0.7006
28,29,0.5075,0.2585
29,30,0.9744,0.963
30,31,0.3105,0.3619
31,32,0.341,0.5362
1,18,0.164,0.1565
2,22,0.4512,0.3083
5,25,0.203,0.1034
7,20,2,2
8,14,2,2
11,21,2,2
17,32,0.5,0.5
24,28,0.5,0.5
